Product Name,Price,Price per KG,Product Category,Date
Infusión a base de café Arlistan en frasco 100 g.,"$ 2.850,00","$ 28.500,00",Café Instantáneo,06-03-2024
Café instantaneo Dolca suave origenes en frasco 100 g.,"$ 5.280,00","$ 52.800,00",Café Instantáneo,06-03-2024
Café instantáneo La Virginia especial clásico 170 g.,"$ 4.985,00","$ 29.323,53",Café Instantáneo,06-03-2024
Te en saquitos diamantado Taragüi x 50 uni,"$ 1.119,00","$ 11.190,00",Te en Saquitos,06-03-2024
Té en saquitos Green Hills 50 u.,"$ 1.770,00","$ 17.700,00",Te en Saquitos,06-03-2024
Cacao en polvo Nesquik 150 g.,"$ 1.314,00","$ 8.760,00",Cacao en Polvo,06-03-2024
Cacao en polvo Toddy original bolsa 180 g.,"$ 1.310,00","$ 7.277,78",Cacao en Polvo,06-03-2024
Yerba mate Playadito suave con palo 1 kg.,"$ 3.790,00","$ 3.790,00",Yerba Mate,06-03-2024
Yerba mate Rosamonte con palo 1 kg.,"$ 2.385,00","$ 2.385,00",Yerba Mate,06-03-2024
Vino tinto malbec Elementos 750 cc.,"$ 3.429,00","$ 4.572,00",Vino Tinto,06-03-2024
Vino tinto malbec Portillo en botella 750 cc.,"$ 2.900,00","$ 3.866,67",Vino Tinto,06-03-2024
Vino tinto malbec Finca Las Moras 750 cc.,"$ 2.780,00","$ 3.706,67",Vino Tinto,06-03-2024
Cerveza rubia Schneider 710 cc.,"$ 1.665,00","$ 2.345,07",Cerveza,06-03-2024
Cerveza rubia Quilmes 473 cc.,"$ 1.180,00","$ 1.871,04",Cerveza,06-03-2024
Cerveza rubia Andes Origen 473 cc.,"$ 1.430,00","$ 3.023,26",Cerveza,06-03-2024
Cerveza rubia Patagonia bohemian 730 cc.,"$ 3.000,00","$ 4.109,59",Cerveza,06-03-2024
Agua mineral Villavicencio con gas pet 500 cc.,"$ 749,00","$ 1.498,00",Agua con Gas,06-03-2024
Agua mineral con gas Eco de los Andes 500 cc.,"$ 759,00","$ 1.518,00",Agua con Gas,06-03-2024
Soda Saldan 1.5 l.,"$ 800,00","$ 533,33",Agua con Gas,06-03-2024
Jugo Citric de naranja clásica tetra 1 l.,"$ 2.650,00","$ 2.650,00",Jugo Concentrado,06-03-2024
Jugo multifruta Pura frutta tetra 1 lt.,"$ 3.199,00","$ 3.199,00",Jugo Concentrado,06-03-2024
